id,slot,title,url,speakers,start_utc,end_utc,type,language,abstract
a1k,A1K,Opening keynote,/sessions/opening-keynote,Istio Team,2021-02-22T16:00:00.000Z,2021-02-22T16:50:00.000Z,keynote,english,"Craig Box and Lin Sun, program chairs and Istio steering committee members, welcome you to IstioCon and discuss the past, present and future of Istio."
238506,A3P,Using Istio to build the next generation 5G platform,/sessions/using-istio-to-build-the-next-generation-5g-platform,"Neeraj Poddar, David Lenrow",2021-02-22T17:00:00.000Z,2021-02-22T17:40:00.000Z,presentation,english,"Building the next fastest, secure and reliable 5G platform is challenging in its own right but doing that while modernizing your infrastructure and onboarding Cloud-Native Functions (CNFs) from multiple vendors can be a herculean effort

In this talk, we will cover how Istio can be used in 5G platforms to achieve uniform security and visibility across these CNFs deployed in multiple clusters across different sites including edge. However, rolling out Istio at this scale brings its own challenges around lifecycle management, tenant isolation, identity management and visibility beyond metrics and traces. We will cover the lessons learned and tradeoffs between various architectures, in particular:

Tenancy isolation
5G aware telemetry
Uniform identity between legacy and workloads in the mesh
Deep packet inspection

Attendees will gain insight into how service providers use Istio at a large scale and what the future holds for a mesh everywhere world from backend to edge to devices"
238508,A4P,I want to sketch a mesh for you,/sessions/i-want-to-sketch-a-mesh-for-you,Christian Posta,2021-02-22T17:40:00.000Z,2021-02-22T18:20:00.000Z,presentation,english,"Virtual conference presentations lack the dynamic and expressive feeling of a live talk in so many dimensions, and explaining complex concepts can be difficult. Even in person, one of the best ways to convey problems, solutions, and architecture discussions is through diagramming and white boarding. As one of the authors of Istio in Action for Manning Publishers, I've gone through many refinements of diagrams to help explain Istio.  In this talk, we'll use live diagramming, architecture sketches, demos and no slides, to illustrate how best to get started with Istio and iteratively adopt it into production. We will cover concepts like sidecar injection, the power of gateways, best practices for tying in PKI, and DNS proxying as we slowly add new workloads to a mesh. "
237937,A5A,Istio Service Mesh at Enterprise Scale,/sessions/istio-service-mesh-at-enterprise-scale,"Jason Webb, Vrushali Joshi",2021-02-22T18:20:00.000Z,2021-02-22T18:45:00.000Z,adoption story,english,"In order to support modern, responsive, real-time experiences across thousands of microservices, we needed a solution for high-performance networking at scale. We began to accept that the limitations of our Hub and Spoke API Gateway model would be impossible to patch.  With a significant move to Kubernetes within the company and with Service Mesh technologies on the near horizon, we began the journey to bring Service Mesh to our enterprise.  We quickly discovered that deploying Istio for the enterprise comes with a host of challenges. Supporting multi-region deployments with non-flat networks and securely managing multitenant configuration across hundreds of Kubernetes clusters proved challenging. This talk details how Intuit solved these problems while deploying and managing Istio multi-cluster at scale in production."
230993,A8P,Improving Security with Istio,/sessions/improving-security-with-istio,Alex Soto,2021-02-22T21:00:00.000Z,2021-02-22T21:40:00.000Z,presentation,english,"As we start to go toward cloud-native infrastructure and build our applications out of microservices, we must fully face the drawbacks and challenges to doing so. One of the most important aspect is securing (authentication and authorization) the services correctly.

In this session, we'll show how Istio can simplify your security model when adopting (micro) services architecture.

We expect most developers haven't adequately solved for these issues, so we'll take it to step by step and build up a strong understanding of Istio and how it is used to secure the service mesh."
233299,A9P,What Envoy Hears When Istio Speaks,/sessions/what-envoy-hears-when-istio-speaks,Rob Salmond,2021-02-22T21:40:00.000Z,2021-02-22T22:20:00.000Z,presentation,english,Istio listens to Kubernetes and speaks to Envoy. We will explore these conversations and learn to understand what's being said.
238524,AW,Using Istio Workshop,/sessions/using-istio-workshop,Lee Calcote,2021-02-22T18:30:00.000Z,2021-02-22T21:00:00.000Z,workshop,english,"Organizations that are running a handful (or more) of microservices deploy Istio to provide a substrate of secure connectivity, uniform visibility, and granular control over service requests. Operating at Layer 5, Istio fills unmet service-level needs.

This workshop introduces service mesh concepts and each aspect of Istio. Gain hands-on experience with this popular tool as you learn how to deploy and configure Istio alongside microservices running in Kubernetes.

What you'll learn:

- Managing telemetry, monitoring, and reporting
- Traffic management scenarios
- Approaches to canary deployments and securing communication

You’ll be able to:

- Configure and operate Istio in context of an example workloads and their common use cases
- Manage traffic through load balancing and resilient communications
- Enforce policies and rate limiting
- Be confident with ongoing management of Istio
- Understand WebAssembly filters for Envoy and deploy a custom filter"
b1k,B1K,Welcome (replay),/sessions/welcome-(replay),,2021-02-23T01:00:00.000Z,2021-02-23T01:50:00.000Z,keynote,subtitled,"Craig Box and Lin Sun, program chairs and Istio steering committee members, welcome you to IstioCon and discuss the past, present and future of Istio."
237704,B3T1,Introduction of the Service Mesh industry and community in China,/sessions/introduction-of-the-service-mesh-industry-and-community-in-china,Jimmy Song,2021-02-23T02:00:00.000Z,2021-02-23T02:10:00.000Z,lightning talk,chinese,"This talk will be delivered in Chinese and will cover the development of service mesh technology in China, and the use of Istio in the Chinese industry. I’ll discuss the growth of the community, and introduce ‘ServiceMesher’ -- the service mesh community group in China. This talk will also cover how to get involved in the Istio community, and what study materials are available to people who want to join. As Istio becomes more popular and widely used, this talk will highlight the ways that the Chinese community has contributed to the growth of service mesh, and how we’re all continuing to learn and grow as users, what resources we have to support our knowledge."
238523,B3T2,《百度APP基于Istio实现基础架构升级》,/sessions/《百度app基于istio实现基础架构升级》,超 许,2021-02-23T02:10:00.000Z,2021-02-23T02:20:00.000Z,lightning talk,chinese,"Outline Content:
① Brief history of service mesh development in Baidu.
② Large-scale application of ISTIO in Baidu.
③ Future.
.
本次分享主要介绍手百APP在微服务化背景下，如何基于现有的技术能力与 Service Mesh 技术结合，完成基础架构层服务治理能力平滑升级。
.
内容大纲：
① Service Mesh在百度APP发展进程。
1.1 遇到的问题。
1.2 落地进程。
1.2.1 控制面深度适配。
1.2.2 实现控制面与数据面打通。
1.2.3 核心流量80%接入Mesh。
② ISTIO在百度的大规模落地。
2.1 控制面技术架构 
2.2 控制面深度改造
2.3 控制面稳定性工程
④未来展望。
.
听众受益点：
Service Mesh一线大规模应用实践与基础架构平滑升级。"
232484,B3T3,How HP set up secure and wise platform with Istio,/sessions/how-hp-set-up-secure-and-wise-platform-with-istio,John Zheng,2021-02-23T02:20:00.000Z,2021-02-23T02:30:00.000Z,lightning talk,chinese,"HP continues using istio from v0.2 to v1.8. We set up secure and wise platform with istio, it supports huge http/grpc load
I. Connect
All k8s clusters connect with istio multi-cluster
II. Secure
•	Enable mTLS
•	Using authentication policy for JWT verify (ra)
•	Using authorization policy to control service-to-service access. (work well even for multi-clusters)
•	Using Envoy External Authorization
III. Wise
Using envoyfilter to implement requirements on platform level, reduces application workload. 
•	Support multi-tenants (Add extra http header/ logs wisely)
•	Verify whether JWT token in blacklist or not
•	Different Rate Limits for each tenant
IV. Better Performance
•	Successful performance tuning
•	Using grpc 
V. CICD/Test Efficiency
•	Implement Canary Deployments,  integrate with CI/CD
VI. Better Observability
Know each api response/ duration very well based on istio Access Logs. With fluentd (to format), elastic search and Prometheus, to summarize/ analyze/ alert."
238116,B4P,Secure your microservices with Istio step by step,/sessions/secure-your-microservices-with-istio-step-by-step,JF Ding,2021-02-23T02:40:00.000Z,2021-02-23T03:20:00.000Z,presentation,chinese,"This talk will walk you through the key concepts for Istio security and show you how Istio can secure your microservices easily via a step by step demos: 

1.  Deploy the micro services into kubernetes
2.  Add services into Istio service mesh
3.  Secure service to service communication via auto-mTLS.
4.  Enforce service to service communication securely via PeerAuthentication
5.  Secure ingress traffic via TLS Termination in istio ingress gateway
6.  Secure ingress traffic via RequestAuthentication 
7.  Authorize accesss to services via AuthorizationPolicy."
238077,B5P,Accelerate istio-cni with ebpf,/sessions/accelerate-istio-cni-with-ebpf,Yizhou Xu,2021-02-23T03:20:00.000Z,2021-02-23T04:00:00.000Z,presentation,chinese,"Datapath between envoy(sidecar) and service is an nonnegligible part in Istio, Isito-cni inserts iptables to intercept and redirect traffic between envoy and service, which brings costs like real TCP/IP traffic over loopback and has to insert IPTables rules.

eBPF is a revolutionary technology that can run sandboxed programs in the Linux kernel without changing kernel source code or loading kernel modules.Replacing iptables with ebpf  allows data traverse from Envoy‘s inbound socket to its outbound socket directly,reducing datapath over loopback interface and sparing iptable rules. 

In this session, we will briefly introduce what the ebpf is and how it accelerates the  Istio with real case studies. Then we will show the performance improvement and comparison data of these cases with/witout ebpf."
238259,B6P,Preserve Original Source Address within Istio,/sessions/preserve-original-source-address-within-istio,Zhonghu Xu,2021-02-23T04:00:00.000Z,2021-02-23T04:40:00.000Z,presentation,chinese,"Original source address is heavily relied on by many scenarios, however in service mesh, with sidecar injected and traffic proxied by a sidecar, it is naturally unable to get the original client ip address.

In this presentation, Zhonghu will introduce what istio and envoy have done to help preserve original source ip both for TCP and HTTP protocols.
And then he will present a live demo about how to achieve original src IP preserve with proxy protocol, original source filter, and TProxy."
